"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2020 09:00:00 - 08/01/2020 10:00:00","BZN|IT-North","Without Sequence","50.00","",""
"08/01/2020 10:00:00 - 08/01/2020 11:00:00","BZN|IT-North","Without Sequence","48.93","",""
"08/01/2020 11:00:00 - 08/01/2020 12:00:00","BZN|IT-North","Without Sequence","47.27","",""
"08/01/2020 12:00:00 - 08/01/2020 13:00:00","BZN|IT-North","Without Sequence","44.89","",""
"08/01/2020 13:00:00 - 08/01/2020 14:00:00","BZN|IT-North","Without Sequence","44.95","",""
"08/01/2020 14:00:00 - 08/01/2020 15:00:00","BZN|IT-North","Without Sequence","47.10","",""
"08/01/2020 15:00:00 - 08/01/2020 16:00:00","BZN|IT-North","Without Sequence","48.93","",""
"08/01/2020 16:00:00 - 08/01/2020 17:00:00","BZN|IT-North","Without Sequence","52.86","",""
"08/01/2020 17:00:00 - 08/01/2020 18:00:00","BZN|IT-North","Without Sequence","57.59","",""
"08/01/2020 18:00:00 - 08/01/2020 19:00:00","BZN|IT-North","Without Sequence","58.88","",""
"08/01/2020 19:00:00 - 08/01/2020 20:00:00","BZN|IT-North","Without Sequence","57.10","",""
"08/01/2020 20:00:00 - 08/01/2020 21:00:00","BZN|IT-North","Without Sequence","49.84","",""
"08/01/2020 21:00:00 - 08/01/2020 22:00:00","BZN|IT-North","Without Sequence","48.27","",""
"08/01/2020 22:00:00 - 08/01/2020 23:00:00","BZN|IT-North","Without Sequence","44.18","",""
"08/01/2020 23:00:00 - 09/01/2020 00:00:00","BZN|IT-North","Without Sequence","43.00","",""
"09/01/2020 00:00:00 - 09/01/2020 01:00:00","BZN|IT-North","Without Sequence","44.60","",""
"09/01/2020 01:00:00 - 09/01/2020 02:00:00","BZN|IT-North","Without Sequence","43.00","",""
"09/01/2020 02:00:00 - 09/01/2020 03:00:00","BZN|IT-North","Without Sequence","41.20","",""
"09/01/2020 03:00:00 - 09/01/2020 04:00:00","BZN|IT-North","Without Sequence","41.34","",""
"09/01/2020 04:00:00 - 09/01/2020 05:00:00","BZN|IT-North","Without Sequence","42.75","",""
"09/01/2020 05:00:00 - 09/01/2020 06:00:00","BZN|IT-North","Without Sequence","44.42","",""
"09/01/2020 06:00:00 - 09/01/2020 07:00:00","BZN|IT-North","Without Sequence","49.50","",""
"09/01/2020 07:00:00 - 09/01/2020 08:00:00","BZN|IT-North","Without Sequence","61.43","",""
"09/01/2020 08:00:00 - 09/01/2020 09:00:00","BZN|IT-North","Without Sequence","62.00","",""
"09/01/2020 09:00:00 - 09/01/2020 10:00:00","BZN|IT-North","Without Sequence","63.63","",""
"09/01/2020 10:00:00 - 09/01/2020 11:00:00","BZN|IT-North","Without Sequence","58.00","",""
"09/01/2020 11:00:00 - 09/01/2020 12:00:00","BZN|IT-North","Without Sequence","50.00","",""
"09/01/2020 12:00:00 - 09/01/2020 13:00:00","BZN|IT-North","Without Sequence","47.00","",""
"09/01/2020 13:00:00 - 09/01/2020 14:00:00","BZN|IT-North","Without Sequence","47.00","",""
"09/01/2020 14:00:00 - 09/01/2020 15:00:00","BZN|IT-North","Without Sequence","50.00","",""
"09/01/2020 15:00:00 - 09/01/2020 16:00:00","BZN|IT-North","Without Sequence","58.47","",""
"09/01/2020 16:00:00 - 09/01/2020 17:00:00","BZN|IT-North","Without Sequence","67.78","",""
"09/01/2020 17:00:00 - 09/01/2020 18:00:00","BZN|IT-North","Without Sequence","75.09","",""
"09/01/2020 18:00:00 - 09/01/2020 19:00:00","BZN|IT-North","Without Sequence","70.99","",""
"09/01/2020 19:00:00 - 09/01/2020 20:00:00","BZN|IT-North","Without Sequence","58.47","",""
