"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2017 23:00:00 - 09/01/2017 00:00:00","BZN|BE","Without Sequence","59.35","",""
"09/01/2017 00:00:00 - 09/01/2017 01:00:00","BZN|BE","Without Sequence","55.76","",""
"09/01/2017 01:00:00 - 09/01/2017 02:00:00","BZN|BE","Without Sequence","48.58","",""
"09/01/2017 02:00:00 - 09/01/2017 03:00:00","BZN|BE","Without Sequence","46.67","",""
"09/01/2017 03:00:00 - 09/01/2017 04:00:00","BZN|BE","Without Sequence","43.75","",""
"09/01/2017 04:00:00 - 09/01/2017 05:00:00","BZN|BE","Without Sequence","39.92","",""
"09/01/2017 05:00:00 - 09/01/2017 06:00:00","BZN|BE","Without Sequence","43.24","",""
"09/01/2017 06:00:00 - 09/01/2017 07:00:00","BZN|BE","Without Sequence","51.21","",""
"09/01/2017 07:00:00 - 09/01/2017 08:00:00","BZN|BE","Without Sequence","81.14","",""
"09/01/2017 08:00:00 - 09/01/2017 09:00:00","BZN|BE","Without Sequence","87.17","",""
"09/01/2017 09:00:00 - 09/01/2017 10:00:00","BZN|BE","Without Sequence","79.43","",""
"09/01/2017 10:00:00 - 09/01/2017 11:00:00","BZN|BE","Without Sequence","80.00","",""
"09/01/2017 11:00:00 - 09/01/2017 12:00:00","BZN|BE","Without Sequence","80.00","",""
"09/01/2017 12:00:00 - 09/01/2017 13:00:00","BZN|BE","Without Sequence","80.00","",""
"09/01/2017 13:00:00 - 09/01/2017 14:00:00","BZN|BE","Without Sequence","79.89","",""
"09/01/2017 14:00:00 - 09/01/2017 15:00:00","BZN|BE","Without Sequence","78.81","",""
"09/01/2017 15:00:00 - 09/01/2017 16:00:00","BZN|BE","Without Sequence","77.04","",""
"09/01/2017 16:00:00 - 09/01/2017 17:00:00","BZN|BE","Without Sequence","73.77","",""
"09/01/2017 17:00:00 - 09/01/2017 18:00:00","BZN|BE","Without Sequence","77.51","",""
"09/01/2017 18:00:00 - 09/01/2017 19:00:00","BZN|BE","Without Sequence","83.87","",""
"09/01/2017 19:00:00 - 09/01/2017 20:00:00","BZN|BE","Without Sequence","79.11","",""
"09/01/2017 20:00:00 - 09/01/2017 21:00:00","BZN|BE","Without Sequence","57.67","",""
"09/01/2017 21:00:00 - 09/01/2017 22:00:00","BZN|BE","Without Sequence","51.09","",""
"09/01/2017 22:00:00 - 09/01/2017 23:00:00","BZN|BE","Without Sequence","50.91","",""
"09/01/2017 23:00:00 - 10/01/2017 00:00:00","BZN|BE","Without Sequence","49.62","",""
"10/01/2017 00:00:00 - 10/01/2017 01:00:00","BZN|BE","Without Sequence","51.92","",""
"10/01/2017 01:00:00 - 10/01/2017 02:00:00","BZN|BE","Without Sequence","46.43","",""
"10/01/2017 02:00:00 - 10/01/2017 03:00:00","BZN|BE","Without Sequence","41.33","",""
"10/01/2017 03:00:00 - 10/01/2017 04:00:00","BZN|BE","Without Sequence","39.56","",""
"10/01/2017 04:00:00 - 10/01/2017 05:00:00","BZN|BE","Without Sequence","40.45","",""
"10/01/2017 05:00:00 - 10/01/2017 06:00:00","BZN|BE","Without Sequence","42.54","",""
"10/01/2017 06:00:00 - 10/01/2017 07:00:00","BZN|BE","Without Sequence","50.00","",""
"10/01/2017 07:00:00 - 10/01/2017 08:00:00","BZN|BE","Without Sequence","77.15","",""
"10/01/2017 08:00:00 - 10/01/2017 09:00:00","BZN|BE","Without Sequence","77.45","",""
"10/01/2017 09:00:00 - 10/01/2017 10:00:00","BZN|BE","Without Sequence","81.55","",""
"10/01/2017 10:00:00 - 10/01/2017 11:00:00","BZN|BE","Without Sequence","83.16","",""
"10/01/2017 11:00:00 - 10/01/2017 12:00:00","BZN|BE","Without Sequence","84.09","",""
"10/01/2017 12:00:00 - 10/01/2017 13:00:00","BZN|BE","Without Sequence","82.06","",""
"10/01/2017 13:00:00 - 10/01/2017 14:00:00","BZN|BE","Without Sequence","80.00","",""
"10/01/2017 14:00:00 - 10/01/2017 15:00:00","BZN|BE","Without Sequence","77.79","",""
"10/01/2017 15:00:00 - 10/01/2017 16:00:00","BZN|BE","Without Sequence","75.69","",""
"10/01/2017 16:00:00 - 10/01/2017 17:00:00","BZN|BE","Without Sequence","74.50","",""
"10/01/2017 17:00:00 - 10/01/2017 18:00:00","BZN|BE","Without Sequence","88.38","",""
"10/01/2017 18:00:00 - 10/01/2017 19:00:00","BZN|BE","Without Sequence","102.90","",""
"10/01/2017 19:00:00 - 10/01/2017 20:00:00","BZN|BE","Without Sequence","85.63","",""
"10/01/2017 20:00:00 - 10/01/2017 21:00:00","BZN|BE","Without Sequence","76.86","",""
"10/01/2017 21:00:00 - 10/01/2017 22:00:00","BZN|BE","Without Sequence","58.63","",""
"10/01/2017 22:00:00 - 10/01/2017 23:00:00","BZN|BE","Without Sequence","53.78","",""
"10/01/2017 23:00:00 - 11/01/2017 00:00:00","BZN|BE","Without Sequence","54.11","",""
"11/01/2017 00:00:00 - 11/01/2017 01:00:00","BZN|BE","Without Sequence","52.58","",""
"11/01/2017 01:00:00 - 11/01/2017 02:00:00","BZN|BE","Without Sequence","50.10","",""
"11/01/2017 02:00:00 - 11/01/2017 03:00:00","BZN|BE","Without Sequence","47.83","",""
"11/01/2017 03:00:00 - 11/01/2017 04:00:00","BZN|BE","Without Sequence","43.90","",""
"11/01/2017 04:00:00 - 11/01/2017 05:00:00","BZN|BE","Without Sequence","41.57","",""
"11/01/2017 05:00:00 - 11/01/2017 06:00:00","BZN|BE","Without Sequence","44.78","",""
"11/01/2017 06:00:00 - 11/01/2017 07:00:00","BZN|BE","Without Sequence","56.68","",""
"11/01/2017 07:00:00 - 11/01/2017 08:00:00","BZN|BE","Without Sequence","87.23","",""
